<<<<<<< HEAD
Employee Name (FirstName LastName),Role (Designer/Engineer/Product Manager),Level (optional),Location (StateProvince),Timezone (PT/MT/CT/ET)
Tony Stark,Designer,P1,Massachusetts,ET
Peter Parker,Engineer,P2,California,PT
Steven Strange,Product Manager,P3,Texas,CT
Bruce Banner,Engineer,P4,Alberta,MT
Steve Rogers,Engineer,P5,Ontario,ET
=======
Employee Name (FirstName LastName),Role (Designer/Engineer/Product Manager),Level (optional),Location (Country-StateProvince-City),Timezone (PT/MT/CT/ET)
Tony Stark,Designer,P1,USA-MA-Boston,ET
Peter Parker,Engineer,P2,USA-CA-San Francisco,PT
Steven Strange,Product Manager,P3,USA-TX-Austin,CT
Bruce Banner,Engineer,P4,USA-CO-Denver,MT
Steve Rogers,Engineer,P5,CAN-ON-Toronto,ET
>>>>>>> 3709cf1 (Demo)
